sales_person,country,product,date,amount,boxes_shipped
Jehu Rudeforth,UK,Mint Chip Choco,2022-04-01,5320.00,180
Van Tuxwell,India,85% Dark Bars,2022-01-08,7896.00,94
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.00,91
Jan Morforth,Australia,Peanut Butter Cubes,,12726.00,342
Jehu Rudeforth,UK,Peanut Butter Cubes,,13685.00,184
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.00,38
Oby Sorrel,UK,99% Dark & Pure,,13685.00,176
Gunar Cockshoot,Australia,After Nines,,3080.00,73
Jehu Rudeforth,New Zealand,50% Dark Bites,,3990.00,59
Brien Boise,Australia,99% Dark & Pure,2022-04-07,2835.00,102
Rafaelita Blaksland,UK,Smooth Sliky Salty,,4704.00,62
Barr Faughny,USA,Orange Choco,2022-10-03,3703.00,11
Mallorie Waber,Canada,Eclairs,,1442.00,286
Karlen McCaffrey,New Zealand,Drinking Coco,,168.00,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-03-08,8379.00,173
Beverie Moffet,Australia,Organic Choco Syrup,,6790.00,356
Van Tuxwell,Canada,Organic Choco Syrup,,4067.00,42
Roddy Speechley,USA,Smooth Sliky Salty,2022-05-04,3017.00,140
Beverie Moffet,Canada,Milk Bars,,8799.00,250
Curtice Advani,UK,85% Dark Bars,2022-08-06,1085.00,172
Brien Boise,Australia,Eclairs,,6888.00,88
Gunar Cockshoot,USA,Spicy Special Slims,,1267.00,157
Marney O'Breen,USA,After Nines,,4753.00,163
Husein Augar,UK,Drinking Coco,,3003.00,113
Kaine Padly,Australia,Eclairs,,7672.00,115
Karlen McCaffrey,India,Fruit & Nut Bars,,168.00,321
Roddy Speechley,Canada,Spicy Special Slims,2022-09-02,1652.00,186
Husein Augar,USA,Eclairs,2022-07-07,4025.00,112
Dennison Crosswaite,New Zealand,White Choc,2022-05-07,9492.00,151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,,5061.00,301
Van Tuxwell,New Zealand,85% Dark Bars,,1722.00,121
Rafaelita Blaksland,UK,99% Dark & Pure,,12446.00,150
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-11-05,4284.00,94
Karlen McCaffrey,UK,Almond Choco,,6839.00,133
Andria Kimpton,Canada,After Nines,2022-11-05,2163.00,70
Roddy Speechley,USA,Manuka Honey Choco,,9583.00,315
